Epoch[92]-val   avg_loss=0.285 avg_top1=0.781 avg_top2=0.951 avg_top3=0.971 avg_iou=0.535 
Epoch[93]-train avg_loss=0.280 avg_top1=0.796 avg_top2=0.946 avg_top3=0.964 avg_iou=0.500 
Epoch[93]-val   avg_loss=0.275 avg_top1=0.786 avg_top2=0.951 avg_top3=0.971 avg_iou=0.535 
Epoch[94]-train avg_loss=0.281 avg_top1=0.798 avg_top2=0.945 avg_top3=0.963 avg_iou=0.500 
Epoch[94]-val   avg_loss=0.282 avg_top1=0.788 avg_top2=0.950 avg_top3=0.972 avg_iou=0.535 
Epoch[95]-train avg_loss=0.278 avg_top1=0.800 avg_top2=0.946 avg_top3=0.964 avg_iou=0.500 
Epoch[95]-val   avg_loss=0.282 avg_top1=0.785 avg_top2=0.948 avg_top3=0.970 avg_iou=0.535 
Epoch[96]-train avg_loss=0.277 avg_top1=0.798 avg_top2=0.945 avg_top3=0.963 avg_iou=0.500 
Epoch[96]-val   avg_loss=0.277 avg_top1=0.792 avg_top2=0.948 avg_top3=0.970 avg_iou=0.535 
Epoch[97]-train avg_loss=0.278 avg_top1=0.800 avg_top2=0.948 avg_top3=0.965 avg_iou=0.500 
Epoch[97]-val   avg_loss=0.280 avg_top1=0.788 avg_top2=0.949 avg_top3=0.970 avg_iou=0.535 
Epoch[98]-train avg_loss=0.271 avg_top1=0.804 avg_top2=0.949 avg_top3=0.966 avg_iou=0.500 
Epoch[98]-val   avg_loss=0.279 avg_top1=0.790 avg_top2=0.951 avg_top3=0.970 avg_iou=0.535 
Epoch[99]-train avg_loss=0.268 avg_top1=0.803 avg_top2=0.948 avg_top3=0.965 avg_iou=0.500 
Epoch[99]-val   avg_loss=0.283 avg_top1=0.791 avg_top2=0.949 avg_top3=0.969 avg_iou=0.535 
Epoch[100]-train avg_loss=0.278 avg_top1=0.798 avg_top2=0.946 avg_top3=0.965 avg_iou=0.500 
Epoch[100]-val   avg_loss=0.281 avg_top1=0.792 avg_top2=0.949 avg_top3=0.970 avg_iou=0.535 
Epoch[101]-train avg_loss=0.268 avg_top1=0.801 avg_top2=0.948 avg_top3=0.965 avg_iou=0.500 
Epoch[101]-val   avg_loss=0.272 avg_top1=0.796 avg_top2=0.951 avg_top3=0.973 avg_iou=0.535 
Epoch[102]-train avg_loss=0.274 avg_top1=0.801 avg_top2=0.948 avg_top3=0.966 avg_iou=0.500 
Epoch[102]-val   avg_loss=0.275 avg_top1=0.789 avg_top2=0.950 avg_top3=0.970 avg_iou=0.535 
Epoch[103]-train avg_loss=0.267 avg_top1=0.805 avg_top2=0.948 avg_top3=0.965 avg_iou=0.500 
Epoch[103]-val   avg_loss=0.279 avg_top1=0.792 avg_top2=0.948 avg_top3=0.969 avg_iou=0.535 
Epoch[104]-train avg_loss=0.264 avg_top1=0.806 avg_top2=0.950 avg_top3=0.966 avg_iou=0.500 
Epoch[104]-val   avg_loss=0.274 avg_top1=0.794 avg_top2=0.951 avg_top3=0.971 avg_iou=0.535 
Epoch[105]-train avg_loss=0.267 avg_top1=0.803 avg_top2=0.949 avg_top3=0.966 avg_iou=0.500 
Epoch[105]-val   avg_loss=0.269 avg_top1=0.795 avg_top2=0.951 avg_top3=0.972 avg_iou=0.535 
Epoch[106]-train avg_loss=0.269 avg_top1=0.801 avg_top2=0.948 avg_top3=0.966 avg_iou=0.500 
